,carrera,empresa,fecha_de_publicacion,experiencia,ingles_requerido
,Administracion de Negocios Digitales,McKinsey & Company,28-Oct-2024,2 a 5 años,Avanzado
,Administracion de Negocios Digitales,McKinsey & Company,28-Oct-2024,0 a mas de 20 años,Avanzado
,Ciencia de la Computacion,Consorcio Minero Horizonte,29-Oct-2024,2 a 5 años,No
,Ciencia de la Computacion,ENTEL PERU,28-Oct-2024,0 a 2 años,Intermedio
,Ciencia de la Computacion,Ernst & Young SRL,28-Oct-2024,2 a 5 años,Avanzado
,Ciencia de la Computacion,IMC PARTNERS,25-Oct-2024,0 a mas de 20 años,No
,Ingenieria Ambiental,VOLCAN Compania Minera SAA,28-Oct-2024,0 a mas de 20 años,No
,Ingenieria Civil,LIMA EXPRESA,29-Oct-2024,0 a mas de 20 años,No
,Ingenieria Civil,Oportunidades Career Services,25-Oct-2024,2 a 5 años,No
,Ingenieria Electronica,A K DRILLING INTERNATIONAL SA,28-Oct-2024,2 a 5 años,No
,Ingenieria Electronica,Trianon Asesores SA,25-Oct-2024,0 a 2 años,No
,Ingenieria Industrial,ANTARES LOGISTICS SA,25-Oct-2024,0 a 2 años,No
,Ingenieria Industrial,DELCROSA,29-Oct-2024,0 a mas de 20 años,No
,Ingenieria Industrial,IMBAREX SA,28-Oct-2024,2 a mas de 20 años,No
,Ingenieria Industrial,Machu Picchu Foods SAC,29-Oct-2024,0 a mas de 20 años,No
,Ingenieria Industrial,Talma Servicios Aeroportuarios,29-Oct-2024,2 a 5 años,No
,Ingenieria Industrial,TRUPAL SA,29-Oct-2024,0 a mas de 20 años,No
,Ingenieria Quimica,Khana Consultores SAC,28-Oct-2024,0 a mas de 20 años,No
,Ingenieria Quimica,Nexa Resources,29-Oct-2024,0 a mas de 20 años,No
,Ingenieria Quimica,Quimpac SA,29-Oct-2024,0 a mas de 20 años,No
