Tipo de Organizacion,Nombre de Organizacion,Correo de Organizacion,Descripcion de la Organizacion
Especializadas,AICHE,aiche@utec.edu.pecontacto:,"Ofrecen diversas experiencias educativas como talleres, ponencias y actividades para fomentar la educación integral y profesional de los estudiantes de UTEC. El enfoque está en temas de Ingeniería Química y disciplinas relacionadas"
Especializadas,ANEIC,aneic@utec.edu.pe,"Busca preparar a los estudiantes de Ingeniería Civil para intercambios académicos, culturales y sociales con ANEIC PERÚ, además de fortalecer conocimientos a nivel nacional mediante eventos académicos y concursos en distintas áreas de la carrera"
Especializadas,ASCE,asce@utec.edu.pe,"Buscan el desarrollo personal y profesional de sus miembros y estudiantes de ingeniería civil a través de actividades como ponencias, talleres e investigaciones, incorporando constantemente nuevas ideas y herramientas para futuros eventos en colaboración con la comunidad."
Especializadas,ASME,asme@utec.edu.pe,"Crean un ambiente de aprendizaje continuo y fortalecer la comunidad de ingeniería de la universidad mediante la divulgación de conocimientos y actividades sociales, promoviendo el intercambio de experiencias y oportunidades para el crecimiento académico y profesional de sus miembros."
Especializadas,ASTM,astm@utec.edu.pe,"Promueven la participación extracurricular de los estudiantes, enfocándose en la difusión de estándares internacionales en áreas como geotecnia, medio ambiente, acero, cemento y materiales, mediante eventos educativos que fomentan el compromiso y la participación activa de sus miembros."
Especializadas,CACHIMBO,proyectocachimbo@utec.edu.pe,"Buscan facilitar el éxito académico y el desarrollo personal de los estudiantes universitarios, tanto en los primeros como en los ciclos superiores, facilitando su transición académica y profesional mediante la implementación efectiva de herramientas basadas en inteligencia artificial."
Especializadas,ASESORIASCAPS,asesoriascaps@utec.edu.pe,"Ofrecen apoyo académico a través de asesorías grupales e individuales con material alineado a la propuesta académica de la universidad, contando con un equipo de asesores altamente capacitados para resolver los problemas de los estudiantes."
Especializadas,CIIVIAL,ciivial@utec.edu.pe,"Dirigen sus esfuerzos de concientización hacia estudiantes de Ingeniería Civil de diversas universidades y la sociedad en general, destacando la importancia de la ingeniería de transporte y vial, y proponiendo soluciones que integren aspectos ingenieriles y sociales para abordar los desafíos actuales en este campo."
Especializadas,CMA,cma@utec.edu.pe,"El Club de Matemática Avanzada crea un ambiente de desarrollo para estudiantes apasionados por las matemáticas, fomentando habilidades a través de asesorías, colaboración, competencia saludable y superación personal dentro de la comunidad universitaria."
Especializadas,CPC,cpc@utec.edu.pe,"El Club de Programación Competitiva orienta y respalda a estudiantes interesados en este campo, alentándolos a participar en competencias para destacar tanto a nivel individual como institucional."
