Lugar,Titulo,Descripción
Johny Rockets,¡20% de descuento en platos a la carta!,"Consumo en salón de lunes a viernes, con un máximo de S/50 de descuento. No aplica para llevar, delivery, feriados, ni días festivos. No acumulable con otras promociones. Acepta todos los medios de pago, excepto gifcards y tarjetas de alimentación. Válido hasta el 31/12."
Pejerrey Point,¡20% de descuento en toda la carta!,Presenta tu carnet universitario (sico o virtual). Válido para delivery (WhatsApp 940636455) con costo adicional. Descuento máximo de S/.100.00 por mesa o pedido. No acumulable con otras promociones. Válido de martes a viernes. Sede Barranco. Válido hasta el 03/09/2025.
Rally Kart Benefits,¡40% de descuento en todas las carreras!,"Usa el código código UTEC4024. Válido en Real Plaza Puruchuco, Open Plaza San Miguel, Open Plaza Huancayo, Real Plaza Chiclayo y Jockey Plaza. No acumulable, no reembolsable, ni renovable. Válido solo para compras online en rallykartbenefits.com"
La Tarumba,¡Tarifa plana universitaria y entradas imilitadas!,"Promoción no acumulable, válida solo para zonas Platinum, VIP y Preferencial. No se permiten cambios ni devoluciones una vez emitidas las entradas. Adquiere tus entradas al WhatsApp 970190571."
La Plaza Los Productores,¡Descuento exclusivo en obras de teatro!,"Usa el código CORPORATIVO2024 para obtener un descuento en obras de teatro. Válido solo para precios generales, no aplicable a descuentos previos. Compra tus entradas en www.joinnus.com"
Smart Fit,¡Adquiere el Plan Black por S/109.90 mensual!,"Usa el código UTEC24 para disfrutar de exoneración de matrícula,mantenimiento y penalidad por cancelación anticipada. Válido en todas las sedes a nivel nacional. Conoce más aquí: smartfit.com.pe"
Pirqa,¡Descuento del 20% en escalada libre!,Con un 30% de descuento en el alquiler del equipo. No incluye instructor ni equipo y está dirigida a personas con experiencia. No requiere reserva previa.
Pirqa,¡2x1 en experiencia Pirqa por S/.60!,"Es obligatorio usar zapatillas deportivas o casuales. No se aceptan reprogramaciones ni devoluciones. Requiere de reserva previa, comunícate al 934037599."
Cabify,¡Descuentos especiales en viajes!,Usa el código UTEC24 para obtener un 50% de descuento en los primeros 3 viajes y un 15% en viajes adicionales. El descuento se aplica automáticamente para viajes con inicio o fin en UTEC.
BaldeCash,¡Descuento especial en laptops de alta gama!,Adquiere tu laptop con una cuota inicial accesible y financiamiento a 24 meses. Más detalles en: beneficios.baldecash.com/utec
Ophtalmic Center,¡Disfruta de un 25% de descuento!,"Descuento en lentes oalmológicos, monturas y lentes de sol con el código PROMOUTEC en nuestra web. No aplica para productos de proveedores ni es acumulable con otras promociones. Teléfonos de contacto: 996827080 - 998095302"
Vitapoint Peru,¡Aprovecha hasta un 25% de descuento!,Usa el código UTEC2024. Válido solo para compras online. Sujeto a disponibilidad. No aplica promoción sobre promoción. Encuentra los productos aquí: hps://www.vitapointperu.com/
Ripley,¡40% de descuento en miles de productos!,"Usa el código 2024654739268. Válido en todas las tiendas a nivel nacional hasta el 31/08. Aplica sobre precio original, no válido para compras online. No acumulable con otras promociones ni canjeable por dinero."
